"","MajorAxis","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","Eccentricity","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","PlanetaryDensJpt"
"71",0.0594,2,2.2,1.2,4.627657,0.095,1.386,1.468,0.11,6600,1.27314814814815
"72",0.091,0,0.006197,0.109083,13.7813,0.05,0.521,0.442,-0.28,3841,4.77430627614685
"73",0.082,0,0.43,1.15,7.8914483,0.016,1.15,1.24,0.23,5972,0.282731979945755
"75",0.08,0,0.442,1.18,7.845582,0.029,1.126,1.529,-0.27,6272,0.269014845724246
"76",0.0413,2,4.193,1.19,2.7759712,0.036,1.216,1.158,0.12,6140,2.48819250883744
"79",0.0479,0,0.059,0.565,4.234516,0.124,0.816,0.788,-0.04,5079,0.327119676595072
"83",0.0426,0,0.85,1.28,2.916243,0.0142,1.22,1.56,0.41,5638,0.405311584472656
"84",0.04567,0,0.67,1.3,3.234723,0,1.05,1.29,0.34,5640,0.304961310878471
"85",0.04126,0,1.462,1.358,2.70339,0,1.282,1.482,0.047,6304,0.583778454955106
"88",0.0477,0,2.8,1.05,3.6314,0.16,1.14,1.61,0.05,5900,2.41874527588813
"91",0.0818,0,10.1,1.05,8.8849116,0.57,0.91,0.89,0.3,5200,8.72475974516791
"92",0.059,0,0.484,0.955,5.20851,0.047,1.01,1.78,0.15,5150,0.555693410512336
"93",0.053,0,0.67,1.4,3.922814,0,1.28,1.32,0.12,6350,0.244169096209913
"94",0.0362,0,1.323,1.02,2.516729,0.016,1.001,0.925,0.43,5403,1.24669244860574
"95",0.0497,0,1.138,1.697,3.547849,0.253,1.3,1.725,-0.157,6351,0.232860987636135
"96",0.0452,0,0.892,1.426,3.128992,0.049,1.259,1.319,0.07,6330,0.307614128076293
"97",0.0371,0,3.06,1.08,3.0927616,0.057,0.71,0.783,0.03,4675,2.42912665752172
"101",0.0548,0,0.5,1.08,4.9816872,0.06,0.884,0.863,0.05,5200,0.396916120510085
"102",0.0362,0,0.9,1.7,3.6623817,0,1.56,1.64,0.03,6600,0.183187461835945
"103",0.02591,0,2.47,1.33,1.4857108,0.011,1.16,1.05,0.26,5781,1.04988572397697
"104",0.0359,0,1.032,1.104,2.3412083,0,1.129,1.147,0.07,6075,0.766959581016045
"105",0.0531,0,0.514,0.86,4.3050011,0,0.514,0.86,-0.04,5900,0.80810494673425
"106",0.0515,0,0.486,1.991,3.735438,0.028,1.306,1.572,-0.19,6650,0.0615775618594753
"107",0.471,0,1.02,1.2,114.7309,0.036,1.1,1.82,-0.17,5600,0.590277777777778
"109",0.03445,0,0.869,1.002,2.4238133,0,0.917,0.865,0.06,5410,0.863806786687978
"110",0.04469,0,0.907,1.213,3.40883,0,1.021,1.094,-0.29,6150,0.508188560213041
"111",0.0434,0,0.626,1.212,3.257215,0.051,1.025,1.103,0.12,5680,0.351614254978418
"112",0.0533,0,0.57,1.3,4.465633,0,1.01,1.06,-0.2,5900,0.25944469731452
"113",0.0421,0,0.855,1.008,3.1186009,0,1.022,0.946,0.01,5550,0.834803994349062
"114",0.0499,0,0.542,1.428,3.7520656,0,1.18,1.477,-0.17,6300,0.186129265788811
