"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",17,0.873906490529268,3.1134384258062,4.94107640916981,-2063.40543659428,0.759030211429836,15,7426.5,"x1","(x13*x6)*(x6*x10)","x5",1,1,1
"S2",17,0.858990972274932,3.19596414693422,5.19268795708321,-2220.25368992423,0.733863826905526,15,7810.019,"x1","x6*x6","x4",1,1,1
"S3",17,0.884793192412639,3.22418295467594,4.70697585532571,-2271.25326447199,0.781322853619003,15,3488.492,"x1","p3(1+x13)","troot(x9)",1,1,1
"S4",17,0.869902405239064,3.23328336012258,5.02154341712994,-2158.38737464412,0.751117763449389,15,3379.452,"x1","x13*(x11*x6)","x5",1,1,1
"S5",17,0.880342434281299,3.20643474150918,4.80102174724054,-2253.83567731216,0.77249717010132,15,6971.567,"x1","x11*x12","p0(x8)",1,1,1
"S6",17,0.860893594253569,3.21754500520737,5.13379782431466,-2423.76589958084,0.739866083281632,15,3223.505,"x1","x2","x4",1,1,1
"S1",18,0.829253429524045,3.68992205120175,6.15043587386122,-2567.41657865896,0.626637026751344,15,7414.884,"x1","x2","sigmoid(x5)",1,1,1
"S2",18,0.88305018743325,3.3034460204641,4.8674496170662,-2570.08982144384,0.766158070172097,15,7056.056,"x1","x5","x6",1,1,1
"S3",18,0.869420841689,3.27429640166106,5.01934615159782,-2596.28089599221,0.751335521485228,15,8056.598,"x1","x2","x4",1,1,1
"S4",18,0.871022027173861,3.22282996667619,4.97360347878928,-2486.9895106019,0.755847164125485,15,3355.945,"x1","x4","x5",1,1,1
"S5",18,0.86945081335649,3.50447809972001,5.07512036316881,-3248.2474477688,0.745778574310771,15,3379.101,"p0(x10)","p0(x8)","x4",1,1,1
"S6",18,0.878403791670412,3.43342119093446,4.88511190976385,-3190.43187619341,0.764457928027237,15,7837.739,"x1","sigmoid(x8)","x5",1,1,1
"S1",19,0.870847112231078,3.13485875279373,4.94783467266904,-2231.95816246846,0.758370577404765,15,4860.547,"p0(x1)","p0(x13)","p3(exp_dbl(x1))",1,1,1
"S2",19,0.848718910497827,3.66955032772785,5.35119054148459,-3084.01081571126,0.717368679634229,15,7595.936,"x1","x2","x5*x5",1,1,1
"S3",19,0.872782093977666,3.39765362935521,4.95227599963507,-3280.07752074369,0.75793659486905,15,3448.731,"x1","x2","x1*x13",1,1,1
"S4",19,0.830100849538967,3.411773410254,5.62509188387652,-2621.36122401582,0.687695171699538,15,3617.864,"x1","x2","x5*x5",1,1,1
"S5",19,0.876096101166402,3.35361809263799,4.89885225127831,-2640.29939919613,0.763131047449348,15,3364.439,"x1","p3(x13)","x5",1,1,1
"S6",19,0.814962865079404,3.80099766403669,5.85124309744207,-3345.24310860837,0.662078565280173,15,3282.383,"x1","x2","sigmoid(x5)",1,1,1
"S1",20,0.875382079805824,3.50182049425565,4.95065162951838,-3242.17770870425,0.758095364725915,15,7529.748,"x1","x2","p0(x9)",1,1,1
"S2",20,0.751168799199653,4.26312002797205,9.46595101733419,-1827.42816424986,0.115601570987071,15,7839.756,"x1","sigmoid(x9*x6)","x5",1,1,1
"S3",20,0.841133640578884,3.48997600600907,5.80846177654069,-2151.0111931513,0.667001920874123,15,7593.544,"x1","p0(x6)","x6",1,1,1
