"Experiment","Run","Number","Feature","Margs","Margs..S4.32.Feature1.troot.x4.x4..1.S4.32.Feature2.x2.x4.0.982607409415272.S4.32.Feature3.x4.0.100633756680082.S4.32.Feature4.x5.0.0892504291746703.S4.32.Feature5.x4.x6.0.0179087434483708.S5.32.Feature1.troot.x4.x4..0.999994805032588.S5.32.Feature2.x4.0.999374371671173.S5.32.Feature3.x4.x9.0.839862507379332.S5.32.Feature4.x4.x4.0.166584207015835.S5.32.Feature5.x10.x4.0.163091295976507.S6.32.Feature1.x4.1.S6.32.Feature2.x10.x4.0.999999999410585.S6.32.Feature3.x4.troot.x4..0.999999976052129..Experiment.Run.Number.Feature.Margs"
"S3",10,"Feature4","p3(x4)",0.79716115613565,NA
"S3",10,"Feature5","x7",0.644585412785054,NA
"S3",10,"Feature6","x6",0.434621399715679,NA
"S3",10,"Feature7","x8",0.386857546309541,NA
"S3",10,"Feature8","x3",0.348515968379605,NA
"S3",10,"Feature9","x1",0.25509789155959,NA
"S4",10,"Feature1","troot(x4*x4)",1,NA
"S4",10,"Feature2","x2*x4",0.958490631177184,NA
"S4",10,"Feature3","x4",0.116144211376092,NA
"S4",10,"Feature4","x4*x8",0.0238680367790102,NA
"S4",10,"Feature5","x4*x9",0.0188463860059626,NA
"S4",10,"Feature6","troot(x4)",0.00278065318005904,NA
"S5",10,"Feature1","x4",1,NA
"S5",10,"Feature2","x2*x4",0.996806997338821,NA
"S5",10,"Feature3","p3(x4)",0.969963270991597,NA
"S5",10,"Feature4","x4*x4",0.672740638637283,NA
"S5",10,"Feature5","x9*x4",0.635761759486286,NA
"S5",10,"Feature6","x7",0.627366596859677,NA
"S5",10,"Feature7","x6",0.498037840420941,NA
"S5",10,"Feature8","x3",0.459619034894908,NA
"S5",10,"Feature9","p0(x9*x4)*x4",0.357296003212929,NA
"S5",10,"Feature10","x1",0.341737847943178,NA
"S5",10,"Feature11","x9",0.31375053666327,NA
"S6",10,"Feature1","troot(x4*(x7*x4))",0.999999595134933,NA
"S6",10,"Feature2","x5",0.108763202375487,NA
"S6",10,"Feature3","p0(x4)",0.0260796531266672,NA
"S6",10,"Feature4","x4",0.0192379099442548,NA
"S1",11,"Feature1","x4",1,NA
"S1",11,"Feature2","x4*troot(x4)",0.999999999999594,NA
"S1",11,"Feature3","x10*x4",0.999999995797087,NA
"S1",11,"Feature4","p0(x4)",0.00101149430074313,NA
"S2",11,"Feature1","troot(x4*(x7*x4))",0.999999998748496,NA
"S3",11,"Feature1","x4",1,NA
"S3",11,"Feature2","troot(x4)*x4",1,NA
"S3",11,"Feature3","x4*x10",0.997508939239628,NA
"S3",11,"Feature4","x2",0.187791380406676,NA
"S3",11,"Feature5","x7",0.177172725051487,NA
"S3",11,"Feature6","x4*x6",0.00374254939223877,NA
"S3",11,"Feature7","x4*x4",0.00245977060345484,NA
"S4",11,"Feature1","troot(x4*(x6*x4))",0.999999999999955,NA
"S5",11,"Feature1","x4",0.999860874664596,NA
"S5",11,"Feature2","x6*x4",0.999849951231755,NA
"S5",11,"Feature3","troot(x4*x4)",0.828648512724882,NA
"S5",11,"Feature4","x6",0.237558165383028,NA
"S5",11,"Feature5","x4*p0(x4)",0.171541911673776,NA
"S6",11,"Feature1","troot(x4)*troot(x4)",1,NA
"S6",11,"Feature2","x2*x4",0.999999999980798,NA
"S6",11,"Feature3","x4",0.0847031245713337,NA
"S1",12,"Feature1","x4",0.999999999999544,NA
"S1",12,"Feature2","x4*p0(x4)",0.999999972759705,NA
"S1",12,"Feature3","x4*p0(x10)",0.704581711664838,NA
"S1",12,"Feature4","x9*x4",0.222859930207222,NA
"S1",12,"Feature5","x4*x4",0.123793900723409,NA
"S1",12,"Feature6","x2*x4",0.0888879665056053,NA
"S1",12,"Feature7","x9",0.0760714227143292,NA
"S1",12,"Feature8","x2*x3",0.00201798410550638,NA
"S1",12,"Feature9","(x9*x4)*x8",0.00133138703882287,NA
"S3",12,"Feature1","x4",1,NA
"S3",12,"Feature2","p3(x8*x2)",0.999999999999999,NA
"S3",12,"Feature3","sin_deg(x8*x2)",0.999999999987045,NA
"S3",12,"Feature4","x8*x2",0.999999999987045,NA
"S3",12,"Feature5","x2",0.999166012491904,NA
"S3",12,"Feature6","x2*x10",0.999080402136151,NA
"S3",12,"Feature7","p3(x2)",0.999080326399547,NA
"S3",12,"Feature8","x3",0.978287423646514,NA
"S3",12,"Feature9","x10",0.514022893535831,NA
"S3",12,"Feature10","x6",0.328684664120169,NA
"S3",12,"Feature11","x8",0.0962467795080143,NA
"S4",12,"Feature1","troot((x4*x6)*x4)",0.507282136963496,NA
"S4",12,"Feature2","troot((x4*x7)*x4)",0.492717874677698,NA
"S4",12,"Feature3","x2",0.308258236840724,NA
"S4",12,"Feature4","x8",0.0381704365136554,NA
"S5",12,"Feature1","troot(x4*x4)",0.999999999999452,NA
"S5",12,"Feature2","x2*x4",0.967449571724189,NA
"S5",12,"Feature3","x4",0.105779019298139,NA
